Time,Time SQRD,Regulatory,Trait Launch,Percent Difference in Cost,Average of Percent Difference Yield,Average of Percent Difference Protein,Average of Percent Difference Moist,Average of Percent Difference Lodging,Average of Market Share
1,1,0,1,-2%,0%,-1%,-2%,-48%,34%
2,4,0,0,0%,-7%,-1%,4%,-31%,34%
3,9,0,0,1%,3%,0%,14%,-12%,38%
4,16,0,0,-2%,16%,0%,2%,-13%,36%
5,25,0,0,1%,1%,-14%,13%,-17%,37%
6,36,0,0,-1%,4%,-4%,0%,24%,34%
7,49,0,0,-2%,3%,-9%,3%,20%,33%
8,64,0,0,-1%,0%,-11%,3%,-4%,32%
9,81,0,0,-1%,0%,0%,-2%,41%,30%
10,100,0,0,-2%,-2%,0%,-3%,28%,28%
11,121,0,0,-3%,-1%,0%,-2%,-26%,29%
12,144,0,1,0%,2%,0%,-1%,34%,29%
13,169,0,1,3%,-2%,0%,0%,2%,28%
14,196,-1,1,-2%,0%,0%,0%,-13%,30%
